date,pid,race,bets,stake,payout,hit,hit_combo,bankroll_before,bankroll_after,bet_details
20250809,02,10R,18,10000,71150,1,2-5-4,0,0,"[{""ticket"": ""2-3-1"", ""prob"": 0.2608333333333333, ""odds"": 46.4, ""amount"": 375.6293946357108}, {""ticket"": ""2-3-4"", ""prob"": 0.17916666666666667, ""odds"": 34.4, ""amount"": 506.66290439235416}, {""ticket"": ""2-1-3"", ""prob"": 0.15666666666666668, ""odds"": 28.6, ""amount"": 609.4127241642301}, {""ticket"": ""3-2-1"", ""prob"": 0.06666666666666667, ""odds"": 53.2, ""amount"": 327.616614870244}, {""ticket"": ""2-1-4"", ""prob"": 0.059166666666666666, ""odds"": 51.4, ""amount"": 339.0895702548051}, {""ticket"": ""2-4-3"", ""prob"": 0.05416666666666667, ""odds"": 65.3, ""amount"": 266.90970767376695}, {""ticket"": ""3-2-4"", ""prob"": 0.04666666666666667, ""odds"": 36.8, ""amount"": 473.6196714972006}, {""ticket"": ""2-4-1"", ""prob"": 0.041666666666666664, ""odds"": 111.9, ""amount"": 155.75696077834658}, {""ticket"": ""1-2-3"", ""prob"": 0.034166666666666665, ""odds"": 8.3, ""amount"": 2099.904085674335}, {""ticket"": ""2-3-6"", ""prob"": 0.018333333333333333, ""odds"": 67.2, ""amount"": 259.3631534389432}, {""ticket"": ""3-1-2"", ""prob"": 0.016666666666666666, ""odds"": 33.3, ""amount"": 523.3995168497593}, {""ticket"": ""1-3-2"", ""prob"": 0.013333333333333334, ""odds"": 9.9, ""amount"": 1760.5256475855535}, {""ticket"": ""1-2-4"", ""prob"": 0.0125, ""odds"": 12.9, ""amount"": 1351.101078379611}, {""ticket"": ""4-2-3"", ""prob"": 0.009166666666666667, ""odds"": 87.2, ""amount"": 199.87619164102043}, {""ticket"": ""3-2-6"", ""prob"": 0.004166666666666667, ""odds"": 81.6, ""amount"": 213.59318518501203}, {""ticket"": ""2-3-5"", ""prob"": 0.0033333333333333335, ""odds"": 166.7, ""amount"": 104.55431260406108}, {""ticket"": ""4-2-1"", ""prob"": 0.0033333333333333335, ""odds"": 132.6, ""amount"": 131.44196011385355}, {""ticket"": ""3-4-2"", ""prob"": 0.0025, ""odds"": 57.8, ""amount"": 301.54332026119346}]"
20250809,02,11R,18,9999,10838,1,1-6-4,0,0,"[{""ticket"": ""1-3-4"", ""prob"": 0.2733333333333333, ""odds"": 6.8, ""amount"": 1593.9037118040064}, {""ticket"": ""1-4-3"", ""prob"": 0.22583333333333333, ""odds"": 7.7, ""amount"": 1407.603277956785}, {""ticket"": ""1-3-6"", ""prob"": 0.09666666666666666, ""odds"": 10.1, ""amount"": 1073.1232911155687}, {""ticket"": ""1-4-6"", ""prob"": 0.0775, ""odds"": 7.8, ""amount"": 1389.5570820855442}, {""ticket"": ""3-1-4"", ""prob"": 0.0525, ""odds"": 44.5, ""amount"": 243.56281438802796}, {""ticket"": ""1-6-4"", ""prob"": 0.03833333333333333, ""odds"": 17.3, ""amount"": 626.5055052177597}, {""ticket"": ""4-1-3"", ""prob"": 0.0375, ""odds"": 38.3, ""amount"": 282.99073734379226}, {""ticket"": ""1-6-3"", ""prob"": 0.035, ""odds"": 21.9, ""amount"": 494.91074156471433}, {""ticket"": ""3-1-6"", ""prob"": 0.030833333333333334, ""odds"": 55.1, ""amount"": 196.70681016818952}, {""ticket"": ""1-3-5"", ""prob"": 0.018333333333333333, ""odds"": 48.3, ""amount"": 224.4005225728208}, {""ticket"": ""4-1-6"", ""prob"": 0.015, ""odds"": 24.6, ""amount"": 440.5912699295627}, {""ticket"": ""1-3-2"", ""prob"": 0.014166666666666666, ""odds"": 23.7, ""amount"": 457.3225839775208}, {""ticket"": ""1-4-5"", ""prob"": 0.014166666666666666, ""odds"": 36.3, ""amount"": 298.5825135059847}, {""ticket"": ""3-4-1"", ""prob"": 0.013333333333333334, ""odds"": 80.5, ""amount"": 134.64031354369246}, {""ticket"": ""4-3-1"", ""prob"": 0.008333333333333333, ""odds"": 79.8, ""amount"": 135.8213689256547}, {""ticket"": ""1-4-2"", ""prob"": 0.008333333333333333, ""odds"": 18.6, ""amount"": 582.7174860358733}, {""ticket"": ""1-5-3"", ""prob"": 0.005833333333333334, ""odds"": 129.7, ""amount"": 83.56627016397259}, {""ticket"": ""1-2-3"", ""prob"": 0.004166666666666667, ""odds"": 32.5, ""amount"": 333.49369970053056}]"
20250809,02,12R,18,10000,15825,1,1-3-2,0,0,"[{""ticket"": ""1-2-3"", ""prob"": 0.20333333333333334, ""odds"": 14.6, ""amount"": 1083.9514463902183}, {""ticket"": ""2-1-3"", ""prob"": 0.15583333333333332, ""odds"": 74.6, ""amount"": 212.14063159915798}, {""ticket"": ""1-3-2"", ""prob"": 0.0925, ""odds"": 10.2, ""amount"": 1551.5383448330574}, {""ticket"": ""1-2-5"", ""prob"": 0.08583333333333333, ""odds"": 20.7, ""amount"": 764.5261409322312}, {""ticket"": ""2-1-5"", ""prob"": 0.08416666666666667, ""odds"": 123.8, ""amount"": 127.83272307994496}, {""ticket"": ""2-3-1"", ""prob"": 0.06166666666666667, ""odds"": 141.7, ""amount"": 111.68448212630337}, {""ticket"": ""1-5-2"", ""prob"": 0.045, ""odds"": 21.5, ""amount"": 736.0786566184737}, {""ticket"": ""1-2-4"", ""prob"": 0.045, ""odds"": 56.7, ""amount"": 279.1127181181161}, {""ticket"": ""2-1-4"", ""prob"": 0.03833333333333333, ""odds"": 259.6, ""amount"": 60.9618301898967}, {""ticket"": ""2-5-1"", ""prob"": 0.028333333333333332, ""odds"": 230.3, ""amount"": 68.71772087406507}, {""ticket"": ""1-4-2"", ""prob"": 0.013333333333333334, ""odds"": 106.0, ""amount"": 149.29897280469044}, {""ticket"": ""3-2-1"", ""prob"": 0.013333333333333334, ""odds"": 89.9, ""amount"": 176.0366086462423}, {""ticket"": ""1-3-5"", ""prob"": 0.010833333333333334, ""odds"": 6.1, ""amount"": 2594.3755929995386}, {""ticket"": ""3-1-2"", ""prob"": 0.01, ""odds"": 41.4, ""amount"": 382.2630704661156}, {""ticket"": ""1-5-3"", ""prob"": 0.01, ""odds"": 10.5, ""amount"": 1507.208677837827}, {""ticket"": ""5-2-1"", ""prob"": 0.009166666666666667, ""odds"": 202.9, ""amount"": 77.99749195316502}, {""ticket"": ""2-5-3"", ""prob"": 0.009166666666666667, ""odds"": 307.8, ""amount"": 51.41550070596876}, {""ticket"": ""2-3-5"", ""prob"": 0.009166666666666667, ""odds"": 244.0, ""amount"": 64.85938982498847}]"
20250809,02,1R,18,10000,4170,1,1-2-5,0,0,"[{""ticket"": ""3-2-1"", ""prob"": 0.13083333333333333, ""odds"": 45.5, ""amount"": 451.0350559756163}, {""ticket"": ""3-1-5"", ""prob"": 0.11166666666666666, ""odds"": 17.9, ""amount"": 1146.4857568095274}, {""ticket"": ""3-1-2"", ""prob"": 0.10666666666666667, ""odds"": 37.5, ""amount"": 547.2558679170811}, {""ticket"": ""3-2-5"", ""prob"": 0.08833333333333333, ""odds"": 34.2, ""amount"": 600.0612586810099}, {""ticket"": ""3-5-1"", ""prob"": 0.0675, ""odds"": 16.6, ""amount"": 1236.2707859572613}, {""ticket"": ""3-1-4"", ""prob"": 0.05583333333333333, ""odds"": 39.3, ""amount"": 522.1907136613369}, {""ticket"": ""3-5-2"", ""prob"": 0.04833333333333333, ""odds"": 30.0, ""amount"": 684.0698348963513}, {""ticket"": ""3-1-6"", ""prob"": 0.04416666666666667, ""odds"": 61.2, ""amount"": 335.32835043938786}, {""ticket"": ""3-4-1"", ""prob"": 0.030833333333333334, ""odds"": 49.1, ""amount"": 417.9652759040843}, {""ticket"": ""3-6-1"", ""prob"": 0.030833333333333334, ""odds"": 111.5, ""amount"": 184.054664097673}, {""ticket"": ""3-2-6"", ""prob"": 0.0275, ""odds"": 73.6, ""amount"": 278.8328131370997}, {""ticket"": ""3-2-4"", ""prob"": 0.02666666666666667, ""odds"": 74.0, ""amount"": 277.32560874176403}, {""ticket"": ""2-3-5"", ""prob"": 0.019166666666666665, ""odds"": 46.2, ""amount"": 444.2011914911372}, {""ticket"": ""1-3-5"", ""prob"": 0.0175, ""odds"": 22.9, ""amount"": 896.1613557594122}, {""ticket"": ""3-4-2"", ""prob"": 0.016666666666666666, ""odds"": 68.5, ""amount"": 299.5926284217597}, {""ticket"": ""1-3-2"", ""prob"": 0.013333333333333334, ""odds"": 46.2, ""amount"": 444.2011914911372}, {""ticket"": ""3-4-5"", ""prob"": 0.0125, ""odds"": 24.4, ""amount"": 841.0694691348582}, {""ticket"": ""1-3-4"", ""prob"": 0.011666666666666667, ""odds"": 52.1, ""amount"": 393.8981774835036}]"
20250809,02,2R,18,10000,6420,1,4-3-5,0,0,"[{""ticket"": ""1-2-5"", ""prob"": 0.105, ""odds"": 51.9, ""amount"": 975.6625706535021}, {""ticket"": ""2-1-5"", ""prob"": 0.09833333333333333, ""odds"": 79.0, ""amount"": 640.9732584419843}, {""ticket"": ""2-1-6"", ""prob"": 0.0675, ""odds"": 212.8, ""amount"": 237.95529801182687}, {""ticket"": ""1-2-3"", ""prob"": 0.0625, ""odds"": 103.1, ""amount"": 491.14342790413934}, {""ticket"": ""2-1-3"", ""prob"": 0.06, ""odds"": 160.9, ""amount"": 314.7103009130936}, {""ticket"": ""1-2-6"", ""prob"": 0.05416666666666667, ""odds"": 162.1, ""amount"": 312.38055161577273}, {""ticket"": ""2-3-1"", ""prob"": 0.050833333333333335, ""odds"": 192.7, ""amount"": 262.7757520338182}, {""ticket"": ""2-3-5"", ""prob"": 0.0475, ""odds"": 59.4, ""amount"": 852.4728521366459}, {""ticket"": ""1-3-2"", ""prob"": 0.03666666666666667, ""odds"": 100.1, ""amount"": 505.8630111580096}, {""ticket"": ""1-3-5"", ""prob"": 0.035833333333333335, ""odds"": 46.8, ""amount"": 1081.984773865743}, {""ticket"": ""2-5-1"", ""prob"": 0.030833333333333334, ""odds"": 85.9, ""amount"": 589.486465854677}, {""ticket"": ""1-6-2"", ""prob"": 0.030833333333333334, ""odds"": 396.0, ""amount"": 127.87092782049687}, {""ticket"": ""2-3-6"", ""prob"": 0.02666666666666667, ""odds"": 166.2, ""amount"": 304.6744128575016}, {""ticket"": ""1-5-2"", ""prob"": 0.025833333333333333, ""odds"": 53.9, ""amount"": 939.459877864875}, {""ticket"": ""1-3-6"", ""prob"": 0.024166666666666666, ""odds"": 132.9, ""amount"": 381.01495422811706}, {""ticket"": ""3-2-5"", ""prob"": 0.0175, ""odds"": 62.3, ""amount"": 812.7911302875885}, {""ticket"": ""2-5-3"", ""prob"": 0.015, ""odds"": 54.4, ""amount"": 930.8251363403816}, {""ticket"": ""3-2-1"", ""prob"": 0.015, ""odds"": 212.8, ""amount"": 237.95529801182687}]"
20250809,02,3R,18,10000,17384,1,4-2-1,0,0,"[{""ticket"": ""2-4-3"", ""prob"": 0.19416666666666665, ""odds"": 25.0, ""amount"": 695.3863619148556}, {""ticket"": ""2-3-4"", ""prob"": 0.15083333333333335, ""odds"": 42.1, ""amount"": 412.9372695456386}, {""ticket"": ""4-2-3"", ""prob"": 0.11, ""odds"": 19.6, ""amount"": 886.9724004016014}, {""ticket"": ""2-4-1"", ""prob"": 0.10916666666666666, ""odds"": 23.8, ""amount"": 730.44785915426}, {""ticket"": ""2-1-4"", ""prob"": 0.08666666666666667, ""odds"": 31.0, ""amount"": 560.7954531571415}, {""ticket"": ""4-2-1"", ""prob"": 0.06166666666666667, ""odds"": 16.5, ""amount"": 1053.6156998709932}, {""ticket"": ""3-2-4"", ""prob"": 0.043333333333333335, ""odds"": 45.6, ""amount"": 381.2425229796357}, {""ticket"": ""1-2-4"", ""prob"": 0.0375, ""odds"": 22.0, ""amount"": 790.2117749032449}, {""ticket"": ""2-1-3"", ""prob"": 0.0325, ""odds"": 69.3, ""amount"": 250.86088092166506}, {""ticket"": ""2-3-1"", ""prob"": 0.030833333333333334, ""odds"": 95.8, ""amount"": 181.46825728467002}, {""ticket"": ""3-4-2"", ""prob"": 0.024166666666666666, ""odds"": 38.2, ""amount"": 455.0957865934918}, {""ticket"": ""1-4-2"", ""prob"": 0.021666666666666667, ""odds"": 20.0, ""amount"": 869.2329523935693}, {""ticket"": ""4-1-2"", ""prob"": 0.02, ""odds"": 19.0, ""amount"": 914.9820551511257}, {""ticket"": ""4-3-2"", ""prob"": 0.015833333333333335, ""odds"": 33.7, ""amount"": 515.8652536460352}, {""ticket"": ""1-2-3"", ""prob"": 0.010833333333333334, ""odds"": 52.8, ""amount"": 329.2549062096854}, {""ticket"": ""1-4-3"", ""prob"": 0.008333333333333333, ""odds"": 32.3, ""amount"": 538.2247383241917}, {""ticket"": ""1-3-2"", ""prob"": 0.0075, ""odds"": 65.1, ""amount"": 267.04545388435315}, {""ticket"": ""3-2-1"", ""prob"": 0.006666666666666667, ""odds"": 104.5, ""amount"": 166.36037366384105}]"
20250809,02,4R,18,9999,1500,1,4-5-2,0,0,"[{""ticket"": ""2-5-4"", ""prob"": 0.0825, ""odds"": 22.4, ""amount"": 826.8893895538724}, {""ticket"": ""2-1-5"", ""prob"": 0.07166666666666667, ""odds"": 41.3, ""amount"": 448.48238077498166}, {""ticket"": ""2-1-4"", ""prob"": 0.059166666666666666, ""odds"": 25.2, ""amount"": 735.0127907145533}, {""ticket"": ""2-4-1"", ""prob"": 0.056666666666666664, ""odds"": 24.9, ""amount"": 743.8683665062949}, {""ticket"": ""2-5-1"", ""prob"": 0.055, ""odds"": 49.6, ""amount"": 373.43391786303914}, {""ticket"": ""2-4-5"", ""prob"": 0.055, ""odds"": 13.3, ""amount"": 1392.6558139854692}, {""ticket"": ""2-5-3"", ""prob"": 0.043333333333333335, ""odds"": 68.8, ""amount"": 269.219801250098}, {""ticket"": ""2-3-5"", ""prob"": 0.0425, ""odds"": 89.6, ""amount"": 206.7223473884681}, {""ticket"": ""2-4-3"", ""prob"": 0.03833333333333333, ""odds"": 34.2, ""amount"": 541.5883721054603}, {""ticket"": ""5-2-4"", ""prob"": 0.035, ""odds"": 34.4, ""amount"": 538.439602500196}, {""ticket"": ""2-3-4"", ""prob"": 0.035, ""odds"": 55.3, ""amount"": 334.9425375408091}, {""ticket"": ""5-2-3"", ""prob"": 0.03333333333333333, ""odds"": 115.9, ""amount"": 159.81296226062761}, {""ticket"": ""5-2-1"", ""prob"": 0.03, ""odds"": 77.0, ""amount"": 240.54964059749017}, {""ticket"": ""1-2-4"", ""prob"": 0.02666666666666667, ""odds"": 25.1, ""amount"": 737.941128526165}, {""ticket"": ""1-2-5"", ""prob"": 0.025833333333333333, ""odds"": 42.6, ""amount"": 434.7962987325526}, {""ticket"": ""4-2-1"", ""prob"": 0.025833333333333333, ""odds"": 30.3, ""amount"": 611.297766534876}, {""ticket"": ""4-2-5"", ""prob"": 0.025, ""odds"": 14.6, ""amount"": 1268.6522141100509}, {""ticket"": ""2-3-1"", ""prob"": 0.018333333333333333, ""odds"": 136.5, ""amount"": 135.69466905499445}]"
20250809,02,5R,18,10000,31860,1,1-6-3,0,0,"[{""ticket"": ""1-4-3"", ""prob"": 0.21, ""odds"": 11.4, ""amount"": 1241.3369577365047}, {""ticket"": ""4-1-3"", ""prob"": 0.13, ""odds"": 17.6, ""amount"": 804.0478021702359}, {""ticket"": ""1-3-4"", ""prob"": 0.10666666666666667, ""odds"": 13.8, ""amount"": 1025.4522694345037}, {""ticket"": ""1-4-5"", ""prob"": 0.0925, ""odds"": 13.0, ""amount"": 1088.5570244766272}, {""ticket"": ""4-1-5"", ""prob"": 0.08333333333333333, ""odds"": 14.3, ""amount"": 989.5972949787518}, {""ticket"": ""1-4-2"", ""prob"": 0.06333333333333334, ""odds"": 31.3, ""amount"": 452.11633604460553}, {""ticket"": ""4-1-2"", ""prob"": 0.05333333333333334, ""odds"": 46.6, ""amount"": 303.67470639905906}, {""ticket"": ""1-2-4"", ""prob"": 0.034166666666666665, ""odds"": 40.0, ""amount"": 353.7810329549038}, {""ticket"": ""3-4-1"", ""prob"": 0.0325, ""odds"": 37.2, ""amount"": 380.4097128547353}, {""ticket"": ""3-1-4"", ""prob"": 0.030833333333333334, ""odds"": 37.3, ""amount"": 379.38984767281914}, {""ticket"": ""1-5-4"", ""prob"": 0.028333333333333332, ""odds"": 35.9, ""amount"": 394.184994935826}, {""ticket"": ""4-3-1"", ""prob"": 0.02666666666666667, ""odds"": 29.5, ""amount"": 479.70309553207295}, {""ticket"": ""1-3-5"", ""prob"": 0.016666666666666666, ""odds"": 27.4, ""amount"": 516.4686612480348}, {""ticket"": ""1-5-3"", ""prob"": 0.011666666666666667, ""odds"": 50.0, ""amount"": 283.02482636392307}, {""ticket"": ""1-5-2"", ""prob"": 0.0075, ""odds"": 120.8, ""amount"": 117.14603740228604}, {""ticket"": ""4-5-1"", ""prob"": 0.0075, ""odds"": 18.0, ""amount"": 786.1800732331196}, {""ticket"": ""1-3-2"", ""prob"": 0.0075, ""odds"": 61.7, ""amount"": 229.35561293672856}, {""ticket"": ""5-1-4"", ""prob"": 0.0075, ""odds"": 80.6, ""amount"": 175.57371362526246}]"
20250809,02,6R,18,10000,17708,1,2-3-5,0,0,"[{""ticket"": ""2-5-1"", ""prob"": 0.135, ""odds"": 46.4, ""amount"": 381.6566342153101}, {""ticket"": ""5-2-1"", ""prob"": 0.13166666666666665, ""odds"": 60.3, ""amount"": 293.67940012587707}, {""ticket"": ""2-1-5"", ""prob"": 0.12, ""odds"": 32.2, ""amount"": 549.9648393661611}, {""ticket"": ""1-2-5"", ""prob"": 0.115, ""odds"": 32.1, ""amount"": 551.6781254701056}, {""ticket"": ""5-1-2"", ""prob"": 0.09666666666666666, ""odds"": 65.5, ""amount"": 270.36439431435707}, {""ticket"": ""1-5-2"", ""prob"": 0.09083333333333334, ""odds"": 43.5, ""amount"": 407.1004098296641}, {""ticket"": ""2-5-3"", ""prob"": 0.04, ""odds"": 28.0, ""amount"": 632.4595652710852}, {""ticket"": ""5-2-3"", ""prob"": 0.03833333333333333, ""odds"": 35.4, ""amount"": 500.25050360424825}, {""ticket"": ""2-3-5"", ""prob"": 0.02666666666666667, ""odds"": 20.3, ""amount"": 872.3580210635658}, {""ticket"": ""1-2-3"", ""prob"": 0.02666666666666667, ""odds"": 27.9, ""amount"": 634.7264454333473}, {""ticket"": ""2-1-3"", ""prob"": 0.023333333333333334, ""odds"": 34.4, ""amount"": 514.7926694066973}, {""ticket"": ""3-2-5"", ""prob"": 0.02, ""odds"": 13.8, ""amount"": 1283.251291854376}, {""ticket"": ""5-3-2"", ""prob"": 0.0175, ""odds"": 33.1, ""amount"": 535.0111126160238}, {""ticket"": ""2-3-1"", ""prob"": 0.013333333333333334, ""odds"": 39.8, ""amount"": 444.94642782890423}, {""ticket"": ""1-5-3"", ""prob"": 0.013333333333333334, ""odds"": 38.8, ""amount"": 456.4141192677935}, {""ticket"": ""1-3-5"", ""prob"": 0.013333333333333334, ""odds"": 24.0, ""amount"": 737.8694928162662}, {""ticket"": ""5-1-3"", ""prob"": 0.0125, ""odds"": 60.2, ""amount"": 294.16723966096987}, {""ticket"": ""1-3-2"", ""prob"": 0.011666666666666667, ""odds"": 27.7, ""amount"": 639.3093078552487}]"
20250809,02,7R,18,10000,12069,1,1-2-3,0,0,"[{""ticket"": ""1-2-3"", ""prob"": 0.35833333333333334, ""odds"": 7.5, ""amount"": 1609.3299693973333}, {""ticket"": ""1-3-2"", ""prob"": 0.14083333333333334, ""odds"": 12.5, ""amount"": 965.5979816383999}, {""ticket"": ""1-2-4"", ""prob"": 0.12083333333333333, ""odds"": 20.4, ""amount"": 591.6654299254902}, {""ticket"": ""2-1-3"", ""prob"": 0.11833333333333333, ""odds"": 64.4, ""amount"": 187.42196848571425}, {""ticket"": ""1-2-5"", ""prob"": 0.07333333333333333, ""odds"": 6.6, ""amount"": 1828.7840561333333}, {""ticket"": ""2-1-4"", ""prob"": 0.04666666666666667, ""odds"": 125.8, ""amount"": 95.94574539332272}, {""ticket"": ""1-4-2"", ""prob"": 0.028333333333333332, ""odds"": 42.4, ""amount"": 284.66921628490564}, {""ticket"": ""2-1-5"", ""prob"": 0.02, ""odds"": 55.4, ""amount"": 217.86958069458484}, {""ticket"": ""1-3-4"", ""prob"": 0.0175, ""odds"": 23.7, ""amount"": 509.28163588523205}, {""ticket"": ""1-4-3"", ""prob"": 0.011666666666666667, ""odds"": 39.6, ""amount"": 304.7973426888889}, {""ticket"": ""1-3-5"", ""prob"": 0.011666666666666667, ""odds"": 10.0, ""amount"": 1206.9974770479998}, {""ticket"": ""2-3-1"", ""prob"": 0.010833333333333334, ""odds"": 131.3, ""amount"": 91.92669284447828}, {""ticket"": ""1-5-2"", ""prob"": 0.01, ""odds"": 9.0, ""amount"": 1341.108307831111}, {""ticket"": ""1-2-6"", ""prob"": 0.006666666666666667, ""odds"": 26.7, ""amount"": 452.05898016779025}, {""ticket"": ""3-1-2"", ""prob"": 0.004166666666666667, ""odds"": 93.2, ""amount"": 129.50616706523604}, {""ticket"": ""2-4-1"", ""prob"": 0.0033333333333333335, ""odds"": 324.4, ""amount"": 37.207073891738595}, {""ticket"": ""2-1-6"", ""prob"": 0.0033333333333333335, ""odds"": 177.6, ""amount"": 67.9615696536036}, {""ticket"": ""3-2-1"", ""prob"": 0.0025, ""odds"": 155.0, ""amount"": 77.8708049708387}]"
