date,pid,race,L1_startCourse,L1_class,L1_age,L1_avgST_rc,L1_ec_avgST,L1_flying,L1_late,L1_ss_starts,L1_ss_first,L1_ss_second,L1_ss_third,L1_ms_winRate,L1_ms_top2Rate,L1_ms_top3Rate,L1_win_k,L1_lose_k,L1_d_avgST_rc,L1_d_age,L1_d_class,L1_rank_avgST,L1_rank_age,L1_rank_class,L2_startCourse,L2_class,L2_age,L2_avgST_rc,L2_ec_avgST,L2_flying,L2_late,L2_ss_starts,L2_ss_first,L2_ss_second,L2_ss_third,L2_ms_winRate,L2_ms_top2Rate,L2_ms_top3Rate,L2_win_k,L2_lose_k,L2_d_avgST_rc,L2_d_age,L2_d_class,L2_rank_avgST,L2_rank_age,L2_rank_class,L3_startCourse,L3_class,L3_age,L3_avgST_rc,L3_ec_avgST,L3_flying,L3_late,L3_ss_starts,L3_ss_first,L3_ss_second,L3_ss_third,L3_ms_winRate,L3_ms_top2Rate,L3_ms_top3Rate,L3_win_k,L3_lose_k,L3_d_avgST_rc,L3_d_age,L3_d_class,L3_rank_avgST,L3_rank_age,L3_rank_class,L4_startCourse,L4_class,L4_age,L4_avgST_rc,L4_ec_avgST,L4_flying,L4_late,L4_ss_starts,L4_ss_first,L4_ss_second,L4_ss_third,L4_ms_winRate,L4_ms_top2Rate,L4_ms_top3Rate,L4_win_k,L4_lose_k,L4_d_avgST_rc,L4_d_age,L4_d_class,L4_rank_avgST,L4_rank_age,L4_rank_class,L5_startCourse,L5_class,L5_age,L5_avgST_rc,L5_ec_avgST,L5_flying,L5_late,L5_ss_starts,L5_ss_first,L5_ss_second,L5_ss_third,L5_ms_winRate,L5_ms_top2Rate,L5_ms_top3Rate,L5_win_k,L5_lose_k,L5_d_avgST_rc,L5_d_age,L5_d_class,L5_rank_avgST,L5_rank_age,L5_rank_class,L6_startCourse,L6_class,L6_age,L6_avgST_rc,L6_ec_avgST,L6_flying,L6_late,L6_ss_starts,L6_ss_first,L6_ss_second,L6_ss_third,L6_ms_winRate,L6_ms_top2Rate,L6_ms_top3Rate,L6_win_k,L6_lose_k,L6_d_avgST_rc,L6_d_age,L6_d_class,L6_rank_avgST,L6_rank_age,L6_rank_class,mean_avgST_rc,mean_age,mean_class
20250815,08,1R,1,1,38,0.15,0.15,0,0,34,25,2,4,73.5,79.4,91.1,25,4,-0.010000000000000009,-2,-2,1,3,1,2,3,37,0.18,0.17,0,0,23,1,3,3,4.3,17.3,30.4,1,7,0.01999999999999999,-3,0,2,2,2,3,3,44,0.19,0.17,0,0,28,1,3,12,3.5,14.2,57.1,1,1,0.03,4,0,4,5,3,4,3,53,0.18,0.16,0,0,15,3,1,2,20.0,26.6,40.0,3,0,0.01999999999999999,13,0,3,6,4,5,3,38,0.2,0.23,0,0,12.0,1.0,1.0,2.0,8.3,16.6,33.3,1,1,0.04000000000000001,-2,0,5,4,5,6,4,21,,0.2,0,0,41,0,0,1,0.0,0.0,2.4,0,8,0.0,-19,1,6,1,6,0.18,38.5,2.8333333333333335
20250815,08,2R,1,2,40,0.15,0.12,0,0,24,16,1,3,66.6,70.8,83.3,16,2,-0.010000000000000009,0,-1,2,3,3,2,1,46,0.11,0.1,2,0,21,2,12,3,9.5,66.6,80.9,2,0,-0.05,6,-2,1,5,1,3,3,27,0.18,0.17,0,0,17,0,3,5,0.0,17.6,47.0,0,1,0.01999999999999999,-13,0,5,1,4,4,3,42,0.17,0.18,0,0,26,4,4,7,15.3,30.7,57.6,4,0,0.010000000000000009,2,0,4,4,5,5,3,56,0.18,0.16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.01999999999999999,16,0,6,6,6,6,1,38,0.16,0.23,1,0,13,0,1,3,0.0,7.6,30.7,0,1,0.0,-2,-2,3,2,2,0.15833333333333335,41.5,2.1666666666666665
20250815,08,3R,1,2,46,0.16,0.14,1,0,13,6,4,1,46.1,76.9,84.6,6,0,0.0,6,-1,4,6,3,2,3,28,0.15,0.18,0,0,22,3,3,2,13.6,27.2,36.3,3,4,-0.010000000000000009,-12,0,2,2,4,3,3,34,0.15,0.12,0,0,15,1,0,5,6.6,6.6,40.0,1,1,-0.010000000000000009,-6,0,3,4,5,4,1,37,0.14,0.16,0,0,15,1,3,3,6.6,26.6,46.6,1,2,-0.01999999999999999,-3,-2,1,5,1,5,1,28,0.17,0.17,0,0,19.0,2.0,2.0,5.0,10.5,21.0,47.3,2,1,0.010000000000000009,-12,-2,5,3,2,6,4,22,0.23,0.22,1,0,65,0,1,1,0.0,1.5,3.0,0,15,0.07,-18,1,6,1,6,0.16666666666666666,32.5,2.3333333333333335
20250815,08,4R,1,3,54,0.18,0.16,0,0,15,4,5,1,26.6,60.0,66.6,4,2,0.01999999999999999,14,0,4,6,4,2,1,37,0.14,0.15,0,0,26,5,13,4,19.2,69.2,84.6,5,5,-0.01999999999999999,-3,-2,1,3,1,3,4,49,0.18,0.17,0,0,14,1,1,4,7.1,14.2,42.8,1,1,0.01999999999999999,9,1,5,5,6,4,3,39,0.17,0.18,0,0,15,0,2,0,0.0,13.3,13.3,0,3,0.010000000000000009,-1,0,2,4,5,5,2,36,0.17,0.16,0,0,24.0,2.0,2.0,6.0,8.3,16.6,41.6,2,3,0.010000000000000009,-4,-1,3,2,3,6,1,29,0.18,0.21,0,0,10,0,2,2,0.0,20.0,40.0,0,3,0.01999999999999999,-11,-2,6,1,2,0.17,40.666666666666664,2.3333333333333335
20250815,08,5R,1,2,51,0.17,0.16,0,0,17,11,2,1,64.7,76.4,82.3,11,4,0.010000000000000009,11,-1,3,6,2,2,3,49,0.2,0.21,0,0,17,1,5,3,5.8,35.2,52.9,1,2,0.04000000000000001,9,0,5,5,4,3,3,45,0.15,0.14,1,0,20,1,3,5,5.0,20.0,45.0,1,3,-0.010000000000000009,5,0,2,4,5,4,1,37,0.13,0.12,0,0,24,4,7,9,16.6,45.8,83.3,4,4,-0.03,-3,-2,1,2,1,5,4,21,,,0,0,,,,,,,,0,0,0.0,-19,1,6,1,6,6,2,41,0.17,0.19,0,0,22,0,2,4,0.0,9.0,27.2,0,6,0.010000000000000009,1,-1,4,3,3,0.164,40.666666666666664,2.5
20250815,08,6R,1,2,42,0.18,0.19,0,0,24,13,5,1,54.1,75.0,79.1,13,7,0.01999999999999999,2,-1,3,3,3,2,3,44,0.19,0.18,0,0,26,4,6,7,15.3,38.4,65.3,4,2,0.03,4,0,5,4,4,3,1,29,0.15,0.15,0,0,18,3,3,5,16.6,33.3,61.1,3,1,-0.010000000000000009,-11,-2,2,1,1,4,1,44,0.14,0.15,0,0,16,4,6,2,25.0,62.5,75.0,4,1,-0.01999999999999999,4,-2,1,5,2,5,3,37,0.18,0.17,0,0,20.0,2.0,2.0,2.0,10.0,20.0,30.0,2,4,0.01999999999999999,-3,0,4,2,5,6,3,47,0.19,0.2,0,0,20,0,1,2,0.0,5.0,15.0,0,5,0.03,7,0,6,6,6,0.17166666666666666,40.5,2.1666666666666665
20250815,08,7R,1,2,25,0.17,0.15,0,0,13,6,4,1,46.1,76.9,84.6,6,2,0.010000000000000009,-15,-1,3,1,2,2,3,27,0.18,0.14,0,0,17,1,5,2,5.8,35.2,47.0,1,1,0.01999999999999999,-13,0,4,2,4,3,2,46,0.16,0.16,1,0,13,2,2,3,15.3,30.7,53.8,2,2,0.0,6,-1,1,4,3,4,3,56,0.18,0.31,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0.01999999999999999,16,0,5,6,5,5,3,54,0.18,0.2,0,0,22.0,0.0,0.0,7.0,0.0,0.0,31.8,0,6,0.01999999999999999,14,0,6,5,6,6,1,45,0.16,0.16,0,0,19,0,2,3,0.0,10.5,26.3,0,3,0.0,5,-2,2,3,1,0.17166666666666663,42.166666666666664,2.3333333333333335
20250815,08,8R,1,2,36,0.17,0.21,0,0,24,12,2,4,50.0,58.3,75.0,12,5,0.010000000000000009,-4,-1,3,2,2,2,4,49,0.18,0.18,0,0,12,0,2,1,0.0,16.6,25.0,0,1,0.01999999999999999,9,1,4,5,6,3,3,53,0.18,0.16,0,0,21,5,4,2,23.8,42.8,52.3,5,1,0.01999999999999999,13,0,5,6,4,4,2,40,0.15,0.16,0,0,17,4,2,4,23.5,35.2,58.8,4,2,-0.010000000000000009,0,-1,1,4,3,5,3,28,0.15,0.14,0,0,16.0,2.0,0.0,2.0,12.5,12.5,25.0,2,1,-0.010000000000000009,-12,0,2,1,5,6,1,36,0.18,0.23,1,0,20,0,1,6,0.0,5.0,35.0,0,4,0.01999999999999999,-4,-2,6,3,1,0.16833333333333333,40.333333333333336,2.5
20250815,08,9R,1,1,29,0.16,0.14,0,0,16,11,2,1,68.7,81.2,87.5,11,1,0.0,-11,-2,3,3,1,2,1,28,0.17,0.17,0,0,25,7,7,5,28.0,56.0,76.0,7,4,0.010000000000000009,-12,-2,4,2,2,3,3,39,0.17,0.14,0,0,21,3,4,3,14.2,33.3,47.6,3,1,0.010000000000000009,-1,0,5,5,4,4,3,54,0.18,0.18,0,0,13,1,3,2,7.6,30.7,46.1,1,1,0.01999999999999999,14,0,6,6,5,5,3,34,0.15,0.12,0,0,18.0,1.0,4.0,5.0,5.5,27.7,55.5,1,5,-0.010000000000000009,-6,0,2,4,6,6,1,23,0.12,0.17,1,0,20,0,3,5,0.0,15.0,40.0,0,1,-0.04000000000000001,-17,-2,1,1,3,0.15833333333333333,34.5,2.0
20250815,08,10R,1,1,38,0.16,0.16,1,0,21,14,3,1,66.6,80.9,85.7,14,0,0.0,-2,-2,3,4,1,2,1,29,0.18,0.15,0,0,15,2,6,1,13.3,53.3,60.0,2,5,0.01999999999999999,-11,-2,5,1,2,3,2,42,0.18,0.19,0,0,21,3,6,2,14.2,42.8,52.3,3,3,0.01999999999999999,2,-1,6,5,5,4,1,37,0.14,0.16,0,0,23,2,9,6,8.7,47.8,73.9,2,1,-0.01999999999999999,-3,-2,2,2,3,5,1,37,0.13,0.14,0,0,24.0,3.0,2.0,8.0,12.5,20.8,54.1,3,2,-0.03,-3,-2,1,3,4,6,2,51,0.17,0.21,0,0,18,0,1,2,0.0,5.5,16.6,0,3,0.010000000000000009,11,-1,4,6,6,0.16,39.0,1.3333333333333333
