date,pid,place_name,race,cutoff_hm,off_hm,series,notes
20250813,01,桐生,1R,15:19,15:22,,
20250813,01,桐生,2R,15:44,15:47,,
20250813,01,桐生,3R,16:11,16:14,,
20250813,01,桐生,4R,16:39,16:42,,
20250813,01,桐生,5R,17:08,17:11,,
20250813,01,桐生,6R,17:37,17:40,,
20250813,01,桐生,7R,18:04,18:07,,
20250813,01,桐生,8R,18:32,18:35,,
20250813,01,桐生,9R,19:02,19:05,,
20250813,01,桐生,10R,19:32,19:35,,
20250813,01,桐生,11R,20:04,20:07,,
20250813,01,桐生,12R,20:35,20:38,,
20250813,05,多摩川,1R,12:01,12:04,,
20250813,05,多摩川,2R,12:27,12:30,,
20250813,05,多摩川,3R,12:56,12:59,,
20250813,05,多摩川,4R,13:28,13:31,,
20250813,05,多摩川,5R,14:00,14:03,,
20250813,05,多摩川,6R,14:38,14:41,,
20250813,05,多摩川,7R,15:10,15:13,,
20250813,05,多摩川,8R,15:40,15:43,,
20250813,05,多摩川,9R,16:11,16:14,,
20250813,05,多摩川,10R,16:45,16:48,,
20250813,05,多摩川,11R,17:18,17:21,,
20250813,05,多摩川,12R,17:53,17:56,,
20250813,07,蒲郡,1R,15:20,15:23,,
20250813,07,蒲郡,2R,15:48,15:51,,
20250813,07,蒲郡,3R,16:18,16:21,,
20250813,07,蒲郡,4R,16:47,16:50,,
20250813,07,蒲郡,5R,17:15,17:18,,
20250813,07,蒲郡,6R,17:44,17:47,,
20250813,07,蒲郡,7R,18:11,18:14,,
20250813,07,蒲郡,8R,18:39,18:42,,
20250813,07,蒲郡,9R,19:09,19:12,,
20250813,07,蒲郡,10R,19:40,19:43,,
20250813,07,蒲郡,11R,20:10,20:13,,
20250813,07,蒲郡,12R,20:40,20:43,,
20250813,08,常滑,1R,10:24,10:27,,
20250813,08,常滑,2R,10:51,10:54,,
20250813,08,常滑,3R,11:18,11:21,,
20250813,08,常滑,4R,11:48,11:51,,
20250813,08,常滑,5R,12:17,12:20,,
20250813,08,常滑,6R,12:44,12:47,,
20250813,08,常滑,7R,13:18,13:21,,
20250813,08,常滑,8R,13:46,13:49,,
20250813,08,常滑,9R,14:18,14:21,,
20250813,08,常滑,10R,14:50,14:53,,
20250813,08,常滑,11R,15:27,15:30,,
20250813,08,常滑,12R,16:03,16:06,,
20250813,09,津,1R,10:28,10:31,,
20250813,09,津,2R,10:55,10:58,,
20250813,09,津,3R,11:22,11:25,,
20250813,09,津,4R,11:54,11:57,,
20250813,09,津,5R,12:24,12:27,,
20250813,09,津,6R,12:54,12:57,,
20250813,09,津,7R,13:27,13:30,,
20250813,09,津,8R,13:59,14:02,,
20250813,09,津,9R,14:32,14:35,,
20250813,09,津,10R,15:04,15:07,,
20250813,09,津,11R,15:38,15:41,,
20250813,09,津,12R,16:15,16:18,,
20250813,11,びわこ,1R,10:35,10:38,,
20250813,11,びわこ,2R,11:01,11:04,,
20250813,11,びわこ,3R,11:28,11:31,,
20250813,11,びわこ,4R,11:57,12:00,,
20250813,11,びわこ,5R,12:30,12:33,,
20250813,11,びわこ,6R,13:03,13:06,,
20250813,11,びわこ,7R,13:38,13:41,,
20250813,11,びわこ,8R,14:07,14:10,,
20250813,11,びわこ,9R,14:42,14:45,,
20250813,11,びわこ,10R,15:13,15:16,,
20250813,11,びわこ,11R,15:56,15:59,,
20250813,11,びわこ,12R,16:36,16:39,,
20250813,13,尼崎,1R,10:33,10:36,,
20250813,13,尼崎,2R,11:00,11:03,,
20250813,13,尼崎,3R,11:25,11:28,,
20250813,13,尼崎,4R,11:53,11:56,,
20250813,13,尼崎,5R,12:23,12:26,,
20250813,13,尼崎,6R,12:52,12:55,,
20250813,13,尼崎,7R,13:23,13:26,,
20250813,13,尼崎,8R,13:56,13:59,,
20250813,13,尼崎,9R,14:31,14:34,,
20250813,13,尼崎,10R,15:00,15:03,,
20250813,13,尼崎,11R,15:46,15:49,,
20250813,13,尼崎,12R,16:28,16:31,,
20250813,14,鳴門,1R,08:48,08:51,,
20250813,14,鳴門,2R,09:14,09:17,,
20250813,14,鳴門,3R,09:40,09:43,,
20250813,14,鳴門,4R,10:06,10:09,,
20250813,14,鳴門,5R,10:36,10:39,,
20250813,14,鳴門,6R,11:06,11:09,,
20250813,14,鳴門,7R,11:37,11:40,,
20250813,14,鳴門,8R,12:08,12:11,,
20250813,14,鳴門,9R,12:41,12:44,,
20250813,14,鳴門,10R,13:15,13:18,,
20250813,14,鳴門,11R,13:50,13:53,,
20250813,14,鳴門,12R,14:27,14:30,,
20250813,15,丸亀,1R,15:24,15:27,,
20250813,15,丸亀,2R,15:54,15:57,,
20250813,15,丸亀,3R,16:23,16:26,,
20250813,15,丸亀,4R,16:51,16:54,,
20250813,15,丸亀,5R,17:22,17:25,,
20250813,15,丸亀,6R,17:51,17:54,,
20250813,15,丸亀,7R,18:18,18:21,,
20250813,15,丸亀,8R,18:46,18:49,,
20250813,15,丸亀,9R,19:16,19:19,,
20250813,15,丸亀,10R,19:48,19:51,,
20250813,15,丸亀,11R,20:16,20:19,,
20250813,15,丸亀,12R,20:45,20:48,,
20250813,16,児島,1R,10:50,10:53,,
20250813,16,児島,2R,11:17,11:20,,
20250813,16,児島,3R,11:45,11:48,,
20250813,16,児島,4R,12:15,12:18,,
20250813,16,児島,5R,12:49,12:52,,
20250813,16,児島,6R,13:26,13:29,,
20250813,16,児島,7R,14:05,14:08,,
20250813,16,児島,8R,14:35,14:38,,
20250813,16,児島,9R,15:07,15:10,,
20250813,16,児島,10R,15:37,15:40,,
20250813,16,児島,11R,16:10,16:13,,
20250813,16,児島,12R,16:50,16:53,,
20250813,17,宮島,1R,10:43,10:46,,
20250813,17,宮島,2R,11:10,11:13,,
20250813,17,宮島,3R,11:36,11:39,,
20250813,17,宮島,4R,12:06,12:09,,
20250813,17,宮島,5R,12:40,12:43,,
