date,pid,race,selected_lanes,pos1_lane,pos2_lane,pos3_lane,sel_in_pos1,sel_in_pos2,sel_in_pos3,hit_any_top3,trifecta_combo,trifecta_amount,keyman_file
20250810,02,10R,4,1,4,5,0,1,0,1,1-4-5,2120,scripts/sims/pass2/keyman/20250810/02/10R.json
20250810,02,11R,3,3,1,2,1,0,0,1,3-1-2,2470,scripts/sims/pass2/keyman/20250810/02/11R.json
20250810,02,12R,4,1,3,5,0,0,0,0,1-3-5,1520,scripts/sims/pass2/keyman/20250810/02/12R.json
20250810,02,1R,2,1,3,4,0,0,0,0,1-3-4,5130,scripts/sims/pass2/keyman/20250810/02/1R.json
20250810,02,2R,5,1,4,2,0,0,0,0,1-4-2,5530,scripts/sims/pass2/keyman/20250810/02/2R.json
20250810,02,3R,4,4,3,6,1,0,0,1,4-3-6,2540,scripts/sims/pass2/keyman/20250810/02/3R.json
20250810,02,4R,6,3,5,2,0,0,0,0,3-5-2,1650,scripts/sims/pass2/keyman/20250810/02/4R.json
20250810,02,5R,4,5,1,3,0,0,0,0,5-1-3,157650,scripts/sims/pass2/keyman/20250810/02/5R.json
20250810,02,6R,4,1,4,2,0,1,0,1,1-4-2,1140,scripts/sims/pass2/keyman/20250810/02/6R.json
20250810,02,7R,5,1,5,2,0,1,0,1,1-5-2,1540,scripts/sims/pass2/keyman/20250810/02/7R.json
20250810,02,8R,6,3,6,2,0,1,0,1,3-6-2,7320,scripts/sims/pass2/keyman/20250810/02/8R.json
20250810,02,9R,5,1,2,4,0,0,0,0,1-2-4,730,scripts/sims/pass2/keyman/20250810/02/9R.json
20250810,04,10R,5,4,1,5,0,0,1,1,4-1-5,1810,scripts/sims/pass2/keyman/20250810/04/10R.json
20250810,04,11R,5,1,3,6,0,0,0,0,1-3-6,1850,scripts/sims/pass2/keyman/20250810/04/11R.json
20250810,04,12R,3,1,3,4,0,1,0,1,1-3-4,900,scripts/sims/pass2/keyman/20250810/04/12R.json
20250810,04,1R,3,1,5,3,0,0,1,1,1-5-3,2810,scripts/sims/pass2/keyman/20250810/04/1R.json
20250810,04,2R,3,1,3,4,0,1,0,1,1-3-4,990,scripts/sims/pass2/keyman/20250810/04/2R.json
20250810,04,3R,4,1,3,4,0,0,1,1,1-3-4,1610,scripts/sims/pass2/keyman/20250810/04/3R.json
20250810,04,4R,4,2,4,6,0,1,0,1,2-4-6,2530,scripts/sims/pass2/keyman/20250810/04/4R.json
20250810,04,5R,4,1,4,5,0,1,0,1,1-4-5,3230,scripts/sims/pass2/keyman/20250810/04/5R.json
20250810,04,6R,5,1,3,4,0,0,0,0,1-3-4,3010,scripts/sims/pass2/keyman/20250810/04/6R.json
20250810,04,7R,4,2,1,6,0,0,0,0,2-1-6,3160,scripts/sims/pass2/keyman/20250810/04/7R.json
20250810,04,8R,4,1,4,2,0,1,0,1,1-4-2,2060,scripts/sims/pass2/keyman/20250810/04/8R.json
20250810,04,9R,6,2,5,1,0,0,0,0,2-5-1,1920,scripts/sims/pass2/keyman/20250810/04/9R.json
