date,pid,race,bets,stake,payout,hit,hit_combo
20250813,01,10R,26,2600,0,0,1-2-6
20250813,01,11R,21,2100,600,1,1-3-2
20250813,01,12R,32,3200,680,1,1-4-2
20250813,01,1R,57,5700,5340,1,4-1-2
20250813,01,2R,23,2300,960,1,1-3-4
20250813,01,3R,49,4900,5220,1,6-2-1
20250813,01,4R,25,2500,4560,1,2-5-1
20250813,01,5R,19,1900,4880,1,4-3-2
20250813,01,6R,27,2700,0,0,1-3-5
20250813,01,7R,14,1400,0,0,1-3-2
20250813,01,8R,26,2600,950,1,5-1-4
20250813,01,9R,46,4600,0,0,4-5-1
20250813,05,10R,40,4000,0,0,1-2-3
20250813,05,11R,15,1500,0,0,1-2-4
20250813,05,12R,26,2600,700,1,1-4-3
20250813,05,1R,49,4900,760,1,1-4-6
20250813,05,2R,41,4100,2540,1,1-6-2
20250813,05,3R,31,3100,1060,1,2-1-3
20250813,05,4R,60,6000,5490,1,3-4-5
20250813,05,5R,34,3400,2110,1,1-4-3
20250813,05,6R,44,4400,1120,1,3-4-5
20250813,05,7R,22,2200,0,0,1-5-4
20250813,05,8R,38,3800,3290,1,4-2-3
20250813,05,9R,31,3100,0,0,5-1-6
20250813,07,10R,31,3100,1420,1,3-1-2
20250813,07,11R,35,3500,870,1,1-3-2
20250813,07,12R,34,3400,1690,1,1-5-4
20250813,07,1R,52,5200,2610,1,4-2-6
20250813,07,2R,37,3700,4280,1,5-1-2
20250813,07,3R,34,3400,21160,1,2-3-1
20250813,07,4R,32,3200,2400,1,2-1-3
20250813,07,5R,37,3700,0,0,1-5-3
20250813,07,6R,37,3700,10660,1,5-4-3
20250813,07,7R,41,4100,4930,1,1-5-3
20250813,07,8R,17,1700,1800,1,4-1-5
20250813,07,9R,40,4000,1420,1,1-2-5
20250813,08,10R,20,2000,1550,1,2-1-3
20250813,08,11R,33,3300,0,0,1-2-3
20250813,08,12R,34,3400,13960,1,3-5-4
20250813,08,1R,25,2500,3700,1,1-4-6
20250813,08,2R,42,4200,0,0,1-5-2
20250813,08,3R,25,2500,3310,1,3-2-4
20250813,08,4R,29,2900,1270,1,1-2-4
20250813,08,5R,47,4700,0,0,5-4-3
20250813,08,6R,41,4100,630,1,1-4-5
20250813,08,7R,18,1800,1510,1,1-2-5
20250813,08,8R,44,4400,2370,1,2-4-5
20250813,08,9R,56,5600,4490,1,1-6-3
20250813,09,10R,27,2700,0,0,5-1-2
20250813,09,11R,34,3400,0,0,1-3-4
20250813,09,12R,54,5400,2140,1,1-2-5
20250813,09,1R,44,4400,1300,1,1-2-4
20250813,09,2R,33,3300,0,0,3-4-6
20250813,09,3R,35,3500,8640,1,2-3-6
20250813,09,4R,39,3900,0,0,2-6-5
20250813,09,5R,24,2400,750,1,1-4-3
20250813,09,6R,51,5100,4300,1,1-3-5
20250813,09,7R,53,5300,10830,1,4-2-3
20250813,09,8R,53,5300,2680,1,3-5-2
20250813,09,9R,48,4800,910,1,1-2-4
20250813,11,10R,39,3900,5040,1,6-1-4
20250813,11,11R,31,3100,0,0,1-3-4
20250813,11,12R,25,2500,2040,1,1-2-5
20250813,11,1R,26,2600,0,0,1-2-4
20250813,11,2R,20,2000,3560,1,1-2-3
20250813,11,3R,26,2600,2140,1,1-6-2
20250813,11,4R,58,5800,1010,1,2-1-4
20250813,11,5R,33,3300,1660,1,2-1-4
20250813,11,6R,24,2400,1320,1,2-5-3
20250813,11,7R,40,4000,1240,1,1-2-3
20250813,11,8R,13,1300,1220,1,1-3-4
20250813,11,9R,58,5800,730,1,1-2-6
20250813,13,10R,53,5300,2210,1,1-5-4
20250813,13,11R,33,3300,1190,1,1-4-3
20250813,13,12R,32,3200,0,0,1-2-3
20250813,13,1R,30,3000,0,0,5-4-1
20250813,13,2R,33,3300,12830,1,5-1-2
20250813,13,3R,22,2200,0,0,4-2-6
20250813,13,4R,42,4200,0,0,1-5-4
20250813,13,5R,21,2100,1100,1,1-3-5
20250813,13,6R,27,2700,3200,1,1-2-6
20250813,13,7R,21,2100,1040,1,1-4-2
20250813,13,8R,28,2800,610,1,1-3-2
20250813,13,9R,24,2400,0,0,1-3-6
20250813,14,10R,33,3300,0,0,2-6-3
20250813,14,11R,37,3700,0,0,5-2-1
20250813,14,12R,60,6000,0,0,1-6-5
20250813,14,1R,32,3200,600,1,1-3-2
20250813,14,2R,24,2400,0,0,1-5-2
20250813,14,3R,41,4100,1300,1,3-4-5
20250813,14,4R,24,2400,600,1,1-2-4
20250813,14,5R,60,6000,9680,1,6-2-4
20250813,14,6R,24,2400,1800,1,1-3-2
20250813,14,7R,27,2700,870,1,2-1-3
20250813,14,8R,26,2600,1030,1,3-2-5
20250813,14,9R,34,3400,2190,1,2-4-3
20250813,15,10R,33,3300,730,1,1-4-2
20250813,15,11R,25,2500,2410,1,1-4-5
20250813,15,12R,60,6000,930,1,1-4-5
20250813,15,1R,53,5300,5110,1,4-1-3
20250813,15,2R,43,4300,0,0,4-1-3
20250813,15,3R,46,4600,840,1,1-3-2
20250813,15,4R,47,4700,3340,1,1-3-5
20250813,15,5R,39,3900,1160,1,1-3-4
20250813,15,6R,47,4700,1730,1,1-2-3
20250813,15,7R,41,4100,2510,1,3-1-5
20250813,15,8R,21,2100,1100,1,1-3-2
20250813,15,9R,59,5900,1610,1,3-6-1
20250813,16,10R,50,5000,1150,1,1-2-3
20250813,16,11R,59,5900,2160,1,1-4-3
20250813,16,12R,55,5500,7380,1,2-3-1
20250813,16,1R,39,3900,7110,1,2-1-5
20250813,16,2R,32,3200,0,0,5-4-6
20250813,16,3R,53,5300,52330,1,5-1-2
20250813,16,4R,38,3800,0,0,4-6-2
20250813,16,5R,35,3500,2450,1,1-5-2
20250813,16,6R,27,2700,860,1,1-2-3
20250813,16,7R,24,2400,2340,1,1-2-4
20250813,16,8R,26,2600,900,1,1-4-3
20250813,16,9R,42,4200,1790,1,1-3-6
20250813,17,10R,25,2500,0,0,1-5-4
20250813,17,11R,50,5000,820,1,1-2-4
20250813,17,12R,36,3600,1100,1,1-3-2
20250813,17,1R,25,2500,1620,1,1-4-6
20250813,17,2R,50,5000,1150,1,1-3-4
20250813,17,3R,44,4400,1320,1,1-2-4
20250813,17,4R,32,3200,730,1,1-2-4
20250813,17,5R,32,3200,1620,1,1-3-2
20250813,17,6R,41,4100,710,1,1-4-3
20250813,17,7R,39,3900,3400,1,3-5-2
20250813,17,8R,50,5000,1190,1,1-3-6
20250813,17,9R,30,3000,7160,1,3-4-2
20250813,18,10R,49,4900,990,1,1-3-2
20250813,18,11R,48,4800,730,1,2-1-5
20250813,18,12R,53,5300,7680,1,2-1-5
20250813,18,1R,22,2200,0,0,1-2-5
20250813,18,2R,19,1900,0,0,5-1-2
20250813,18,3R,35,3500,0,0,1-3-4
20250813,18,4R,18,1800,0,0,5-1-3
20250813,18,5R,34,3400,760,1,1-2-3
20250813,18,6R,28,2800,0,0,1-2-3
20250813,18,7R,40,4000,0,0,3-4-5
20250813,18,8R,60,6000,2660,1,1-3-4
20250813,18,9R,60,6000,7690,1,1-4-5
20250813,19,10R,56,5600,730,1,1-4-5
20250813,19,11R,43,4300,1890,1,1-4-2
20250813,19,12R,39,3900,860,1,1-5-6
20250813,19,1R,39,3900,0,0,3-1-5
20250813,19,2R,55,5500,1520,1,1-2-3
20250813,19,3R,58,5800,3470,1,1-3-5
20250813,19,4R,44,4400,690,1,1-3-5
20250813,19,5R,30,3000,830,1,1-4-3
20250813,19,6R,21,2100,0,0,1-2-3
20250813,19,7R,17,1700,1410,1,1-3-4
20250813,19,8R,15,1500,1050,1,1-2-3
20250813,19,9R,50,5000,1040,1,1-3-6
20250813,22,10R,48,4800,2310,1,3-1-2
20250813,22,11R,46,4600,1130,1,1-4-5
20250813,22,12R,38,3800,980,1,1-3-2
20250813,22,1R,26,2600,0,0,1-2-3
20250813,22,2R,45,4500,870,1,1-2-3
20250813,22,3R,36,3600,3850,1,3-4-1
20250813,22,4R,37,3700,790,1,1-4-2
20250813,22,5R,30,3000,0,0,4-2-5
20250813,22,6R,60,6000,8100,1,3-4-1
20250813,22,7R,54,5400,3000,1,2-5-3
20250813,22,8R,55,5500,800,1,1-4-5
20250813,22,9R,56,5600,7030,1,1-6-4
20250813,23,10R,60,6000,2930,1,2-3-1
20250813,23,11R,26,2600,0,0,6-1-3
20250813,23,12R,51,5100,870,1,1-2-5
20250813,23,1R,23,2300,1040,1,1-2-4
20250813,23,2R,17,1700,0,0,1-4-6
20250813,23,3R,25,2500,0,0,1-4-5
20250813,23,4R,44,4400,0,0,4-6-5
20250813,23,5R,49,4900,2520,1,1-4-3
20250813,23,6R,47,4700,1120,1,3-4-5
20250813,23,7R,28,2800,15450,1,3-2-4
20250813,23,8R,29,2900,0,0,3-4-5
20250813,23,9R,43,4300,4880,1,3-4-5
