date,pid,race,bets,stake,payout,hit,hit_combo
20250810,02,10R,10,1000,0,0,1-4-5
20250810,02,11R,10,1000,2470,1,3-1-2
20250810,02,12R,9,900,0,0,1-3-5
20250810,02,1R,16,1600,0,0,1-3-4
20250810,02,2R,13,1300,0,0,1-4-2
20250810,02,3R,18,1800,2540,1,4-3-6
20250810,02,4R,17,1700,1650,1,3-5-2
20250810,02,5R,10,1000,0,0,5-1-3
20250810,02,6R,8,800,0,0,1-4-2
20250810,02,7R,11,1100,0,0,1-5-2
20250810,02,8R,6,600,0,0,3-6-2
20250810,02,9R,10,1000,0,0,1-2-4
20250810,04,10R,9,900,1810,1,4-1-5
20250810,04,11R,10,1000,0,0,1-3-6
20250810,04,12R,9,900,0,0,1-3-4
20250810,04,1R,13,1300,0,0,1-5-3
20250810,04,2R,3,300,0,0,1-3-4
20250810,04,3R,14,1400,0,0,1-3-4
20250810,04,4R,16,1600,2530,1,2-4-6
20250810,04,5R,13,1300,0,0,1-4-5
20250810,04,6R,8,800,0,0,1-3-4
20250810,04,7R,15,1500,3160,1,2-1-6
20250810,04,8R,9,900,0,0,1-4-2
20250810,04,9R,16,1600,1920,1,2-5-1
20250810,05,10R,11,1100,17820,1,2-5-1
20250810,05,11R,7,700,2590,1,2-1-3
20250810,05,12R,10,1000,0,0,1-3-5
20250810,05,1R,10,1000,0,0,1-6-2
20250810,05,2R,9,900,0,0,1-4-3
20250810,05,3R,15,1500,0,0,2-3-1
20250810,05,4R,10,1000,0,0,1-6-2
20250810,05,5R,17,1700,0,0,1-6-3
20250810,05,6R,11,1100,2850,1,3-1-2
20250810,05,7R,13,1300,0,0,1-3-2
20250810,05,8R,12,1200,3410,1,3-1-4
20250810,05,9R,11,1100,0,0,4-6-2
20250810,06,10R,11,1100,0,0,1-5-2
20250810,06,11R,11,1100,0,0,1-2-3
20250810,06,12R,11,1100,3510,1,3-1-4
20250810,06,1R,10,1000,0,0,1-3-2
20250810,06,2R,13,1300,0,0,2-1-5
20250810,06,3R,9,900,0,0,4-5-2
20250810,06,4R,10,1000,0,0,4-3-2
20250810,06,5R,9,900,0,0,1-4-2
20250810,06,6R,7,700,0,0,3-2-4
20250810,06,7R,12,1200,0,0,1-5-3
